id,origin,endpoint,summary,status,severity,reproduced_by,first_run,evidence_path,root_cause,fix_commit,notes
K-001,preliminary,cart-update,Missing cart item ownership check,confirmed,high,manual,,,ownership lookup,,Excluded from novel count
K-002,preliminary,cart-update,Malformed quantity causes server error,confirmed,medium,manual,,,input conversion,,Excluded from novel count
K-003,preliminary,cart-update,Rejected quantity deletes state,confirmed,high,manual,,,side effect before rejection,,Excluded from novel count
K-004,preliminary,order-create,Missing phone causes server error,confirmed,medium,manual,,,missing type guard,,Excluded from novel count
K-005,preliminary,order-create,Non-string phone causes server error,confirmed,medium,manual,,,missing type guard,,Excluded from novel count
K-006,preliminary,order-create,Checkout details are not persisted,confirmed,high,manual|exploratory,E-01,docs/project/results/exploratory/E-02-after-20260716-113028.json,model and persistence gap,,Excluded from novel count; reproduced in E-01 and every successful E-02 checkout
K-007,preliminary,order-create,Partial order persists after item failure,confirmed,high,manual,,,missing atomic transaction,,Excluded from novel count
K-008,smoke,cart-update,Malformed item identifier causes server error,rejected,,none,M-01,docs/project/results/M-01-20260714-204047.log,duplicate classification of K-002,,Original smoke request had malformed quantity; retained for audit
K-009,smoke,order-create,Required checkout fields are not validated,confirmed,high,manual|Schemathesis|exploratory,smoke-9839,docs/project/exploratory/ET-02-session.md,missing request validation,,Excluded from novel count; E-02 accepted a 17-digit phone and whitespace-only name and address
N-001,exploratory,frontend-cart,Cart is not refetched after successful login,confirmed,medium,exploratory,E-01,docs/project/exploratory/ET-01-session.md,CartProvider fetches only on mount and login does not trigger cart refresh,,Novel E-01 finding
N-002,exploratory,frontend-cart,Expired authentication is not presented as a reauthentication condition,confirmed,medium,exploratory,E-01,docs/project/results/exploratory/E-02-punctuation-address-auth-expired-20260716-111534.json,401 responses are mapped to generic or misleading UI state while token presence is trusted,,E-01 showed an empty cart; E-02 checkout showed generic Order failed until reauthentication
N-003,exploratory,frontend-products,Missing images render an empty src and trigger React warnings,confirmed,low,exploratory,E-01,docs/project/exploratory/ET-01-session.md,media resolver returns empty string and product image is rendered unconditionally,,Novel E-01 finding
